chunk_size,chunk_overlap,retriever_k,reranker_n,use_hyde,faithfulness,answer_correctness,context_precision,context_recall
512,50,20,5,False,0.6771428571428572,0.5868017675822693,0.7166666666108333,0.4
512,50,20,5,True,0.63,0.5422923073325419,0.499999999965,0.5
