chunk_size,chunk_overlap,retriever_k,reranker_n,faithfulness,answer_correctness,context_precision,context_recall
512,50,10,2,0.505,0.5812492127443485,0.49999999996,0.4666666666666666
512,50,10,5,0.7247863247863248,0.5535361383692183,0.46666666662999995,0.4
512,50,20,5,0.6144444444444443,0.6125397357919872,0.5166666666308333,0.5333333333333333
