chunk_size,chunk_overlap,faithfulness,answer_correctness,context_precision,context_recall
512,50,0.62,0.5737886220570055,0.39999999997,0.4666666666666666
768,115,0.5396103896103897,0.4784159277053921,0.19999999998,0.2
1024,200,0.45714285714285713,0.6108968250259033,0.19999999998,0.2
